priority_score,name,openalex_id,h_index,i10_index,cited_by_count,works_count,2yr_mean_citedness,institution,institution_type,city,paper_count_in_window,top_paper_title,top_paper_link,venues,linkedin_search_url,google_scholar_url
210.3,Shuicheng Yan,A5100381753,178,989,147113,2082,3.41,Google (United States),company,,1,Cropper: Vision-Language Model for Image Cropping through In-Context Learning,https://doi.org/10.1109/cvpr52734.2025.02793,,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Shuicheng+Yan+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Shuicheng+Yan%22
198.6,Hong Li,A5100339418,153,1005,104874,1954,9.77,Amazon (United States),company,WA,1,LentEx: Generalizable Latent Entity Extraction via Synthetic Data and Instruction-Tuned LLMs,https://doi.org/10.1109/ijcnn64981.2025.11228382,,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Hong+Li+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Hong+Li%22
186.6,Ming–Hsuan Yang,A5100418319,147,568,106729,1204,6.2,Google (United States),company,,1,DynamicScaler: Seamless and Scalable Video Generation for Panoramic Scenes,https://doi.org/10.1109/cvpr52734.2025.00576,,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ming%E2%80%93Hsuan+Yang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ming%E2%80%93Hsuan+Yang%22
184.2,Charų C. Aggarwal,A5028089542,107,371,51943,761,10.94,IBM Research - Thomas J. Watson Research Center,facility,NY,4,Fast Outlier Detection in Oblique Subspaces,https://doi.org/10.1145/3746252.3761354,IEEE Transactions on Knowledge and Data Engineering,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Char%C5%B3+C.+Aggarwal+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Char%C5%B3+C.+Aggarwal%22
177.4,R. Wang,A5002876556,138,1722,108563,2427,6.09,Amazon (United States),company,Seattle,1,Electric Motor Drive Anomaly Detection Using AutoGluon,https://doi.org/10.1109/iemdc60492.2025.11061011,,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+R.+Wang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22R.+Wang%22
175.6,Michel Devoret,A5089631322,106,224,49508,597,26.3,Google (United States),company,CA,2,Observation of constructive interference at the edge of quantum ergodicity,https://doi.org/10.1038/s41586-025-09526-6,Nature,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Michel+Devoret+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Michel+Devoret%22
174.9,Federico Tombari,A5041092666,61,192,16224,505,3.91,Google (United States),company,,9,Splat-SLAM: Globally Optimized RGB-Only SLAM with 3D Gaussians,https://doi.org/10.1109/cvprw67362.2025.00156,AAAI; Proceedings of the AAAI Conference on Artificial Intelligence,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Federico+Tombari+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Federico+Tombari%22
172.1,Ryan Babbush,A5059699271,54,90,17402,190,23.76,Google (United States),company,CA,7,Observation of constructive interference at the edge of quantum ergodicity,https://doi.org/10.1038/s41586-025-09526-6,Nature; PRX Quantum; Physical Review X; Quantum,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ryan+Babbush+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ryan+Babbush%22
165.9,Christos Faloutsos,A5035605036,132,536,81523,967,1.52,American Metal Processing (United States),company,,2,OmniMatch: Joinability Discovery in Data Products,https://doi.org/10.14778/3749646.3749715,Proceedings of the VLDB Endowment,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Christos+Faloutsos+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Christos+Faloutsos%22
165.0,Cordelia Schmid,A5109890544,113,288,65371,577,3.34,Google (United States),company,,3,FirePlace: Geometric Refinements of LLM Common Sense Reasoning for 3D Object Placement,https://doi.org/10.1109/cvpr52734.2025.01257,,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Cordelia+Schmid+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Cordelia+Schmid%22
162.8,R. Mittleman,A5107871532,98,194,67073,276,37.61,Meta (United States),company,CA,1,Balancing Semantic Relevance and Engagement in Related Video Recommendations,https://doi.org/10.1109/mipr67560.2025.00016,,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+R.+Mittleman+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22R.+Mittleman%22
162.6,Ali Farhadi,A5101576595,59,146,66030,291,511.14,Allen Institute for Artificial Intelligence,nonprofit,,1,FLaRe: Achieving Masterful and Adaptive Robot Policies with Large-Scale Reinforcement Learning Fine-Tuning,https://doi.org/10.1109/icra55743.2025.11127934,,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ali+Farhadi+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ali+Farhadi%22
